Date,Time,Event,Asset,Rate,Currency,Amount,Amount_Unit,AUD_Value,Fee_Amount,Fee_Unit,Fee_AUD,Balance,Balance_Unit
19/03/2022,10:59:59,REWARD,LUNC,,,0.00044879,LUNC,0.05338804,0.000,LUNC,0,2.04952359,LUNC
20/03/2022,10:59:59,REWARD,SOL,,,0.00040485,SOL,0.04980813,0.000,SOL,0,2.2753425,SOL
20/03/2022,10:59:59,REWARD,MATIC,,,0.08277633,MATIC,0.16706187,0.000,MATIC,0,252.03397554,MATIC
20/03/2022,10:59:59,REWARD,LUNC,,,0.00044889,LUNC,0.05556487,0.000,LUNC,0,2.04997248,LUNC
21/03/2022,10:59:59,REWARD,SOL,,,0.00040492,SOL,0.04849616,0.000,SOL,0,2.27574742,SOL
21/03/2022,10:59:59,REWARD,MATIC,,,0.08280353,MATIC,0.16307223,0.000,MATIC,0,252.11677907,MATIC
21/03/2022,10:59:59,REWARD,LUNC,,,0.00044899,LUNC,0.05536213,0.000,LUNC,0,2.05042147,LUNC
22/03/2022,10:59:59,REWARD,SOL,,,0.00040499,SOL,0.04872045,0.000,SOL,0,2.27615241,SOL
22/03/2022,10:59:59,REWARD,MATIC,,,0.08283073,MATIC,0.16408804,0.000,MATIC,0,252.1996098,MATIC
22/03/2022,10:59:59,REWARD,LUNC,,,0.00044909,LUNC,0.0574191,0.000,LUNC,0,2.05087056,LUNC
23/03/2022,10:59:59,REWARD,SOL,,,0.00040506,SOL,0.04886278,0.000,SOL,0,2.27655747,SOL
23/03/2022,10:59:59,REWARD,MATIC,,,0.08285794,MATIC,0.16687346,0.000,MATIC,0,252.28246774,MATIC
23/03/2022,10:59:59,REWARD,LUNC,,,0.00044919,LUNC,0.05591335,0.000,LUNC,0,2.05131975,LUNC
24/03/2022,10:59:59,REWARD,SOL,,,0.00040514,SOL,0.05157515,0.000,SOL,0,2.27696261,SOL
24/03/2022,10:59:59,REWARD,MATIC,,,0.08288517,MATIC,0.17119463,0.000,MATIC,0,252.36535291,MATIC
24/03/2022,10:59:59,REWARD,LUNC,,,0.00044928,LUNC,0.05667659,0.000,LUNC,0,2.05176903,LUNC
25/03/2022,10:59:59,REWARD,SOL,,,0.00040521,SOL,0.05483362,0.000,SOL,0,2.27736782,SOL
25/03/2022,10:59:59,REWARD,MATIC,,,0.08291240,MATIC,0.18068536,0.000,MATIC,0,252.44826531,MATIC
25/03/2022,10:59:59,REWARD,LUNC,,,0.00044938,LUNC,0.05608118,0.000,LUNC,0,2.05221841,LUNC
26/03/2022,10:59:59,REWARD,SOL,,,0.00040528,SOL,0.0537397,0.000,SOL,0,2.2777731,SOL
26/03/2022,10:59:59,REWARD,MATIC,,,0.08293964,MATIC,0.17678988,0.000,MATIC,0,252.53120495,MATIC
26/03/2022,10:59:59,REWARD,LUNC,,,0.00044948,LUNC,0.05451433,0.000,LUNC,0,2.05266789,LUNC
27/03/2022,10:59:59,REWARD,SOL,,,0.00040535,SOL,0.05511944,0.000,SOL,0,2.27817845,SOL
27/03/2022,10:59:59,REWARD,MATIC,,,0.08296689,MATIC,0.1784817,0.000,MATIC,0,252.61417184,MATIC
27/03/2022,10:59:59,REWARD,LUNC,,,0.00044958,LUNC,0.05484125,0.000,LUNC,0,2.05311747,LUNC
28/03/2022,10:59:59,REWARD,SOL,,,0.00040543,SOL,0.05726742,0.000,SOL,0,2.27858388,SOL
28/03/2022,10:59:59,REWARD,MATIC,,,0.08299414,MATIC,0.1865706,0.000,MATIC,0,252.69716598,MATIC
28/03/2022,10:59:59,REWARD,LUNC,,,0.00044968,LUNC,0.05602963,0.000,LUNC,0,2.05356715,LUNC
29/03/2022,10:59:59,REWARD,SOL,,,0.00040550,SOL,0.05887627,0.000,SOL,0,2.27898938,SOL
29/03/2022,10:59:59,REWARD,MATIC,,,0.08302141,MATIC,0.18725428,0.000,MATIC,0,252.78018739,MATIC
29/03/2022,10:59:59,REWARD,LUNC,,,0.00044978,LUNC,0.05986186,0.000,LUNC,0,2.05401693,LUNC
30/03/2022,10:59:59,REWARD,SOL,,,0.00040557,SOL,0.05891056,0.000,SOL,0,2.27939495,SOL
30/03/2022,10:59:59,REWARD,MATIC,,,0.08304869,MATIC,0.18158245,0.000,MATIC,0,252.86323608,MATIC
30/03/2022,10:59:59,REWARD,LUNC,,,0.00044987,LUNC,0.06347144,0.000,LUNC,0,2.0544668,LUNC
31/03/2022,10:59:59,REWARD,SOL,,,0.00040564,SOL,0.06555557,0.000,SOL,0,2.27980059,SOL
31/03/2022,10:59:59,REWARD,MATIC,,,0.08307597,MATIC,0.18927067,0.000,MATIC,0,252.94631205,MATIC
31/03/2022,10:59:59,REWARD,LUNC,,,0.00044997,LUNC,0.06467382,0.000,LUNC,0,2.05491677,LUNC
1/04/2022,10:59:59,REWARD,SOL,,,0.00040571,SOL,0.06696657,0.000,SOL,0,2.2802063,SOL
1/04/2022,10:59:59,REWARD,MATIC,,,0.08310327,MATIC,0.18038827,0.000,MATIC,0,253.02941532,MATIC
1/04/2022,10:59:59,REWARD,LUNC,,,0.00045007,LUNC,0.06167483,0.000,LUNC,0,2.05536684,LUNC
2/04/2022,10:59:59,REWARD,SOL,,,0.00040579,SOL,0.07357307,0.000,SOL,0,2.28061209,SOL
2/04/2022,10:59:59,REWARD,MATIC,,,0.08313057,MATIC,0.18943767,0.000,MATIC,0,253.11254589,MATIC
2/04/2022,10:59:59,REWARD,LUNC,,,0.00045017,LUNC,0.06485621,0.000,LUNC,0,2.05581701,LUNC
3/04/2022,10:59:59,REWARD,SOL,,,0.00040586,SOL,0.07131798,0.000,SOL,0,2.28101795,SOL
3/04/2022,10:59:59,REWARD,MATIC,,,0.08315788,MATIC,0.18184671,0.000,MATIC,0,253.19570377,MATIC
3/04/2022,10:59:59,REWARD,LUNC,,,0.00045027,LUNC,0.06838374,0.000,LUNC,0,2.05626728,LUNC
4/04/2022,10:59:59,REWARD,SOL,,,0.00037470,SOL,0.06767385,0.000,SOL,0,2.28139265,SOL
4/04/2022,10:59:59,REWARD,MATIC,,,0.08318520,MATIC,0.1835243,0.000,MATIC,0,253.27888897,MATIC
4/04/2022,10:59:59,REWARD,LUNC,,,0.00033778,LUNC,0.05179062,0.000,LUNC,0,2.05660506,
5/04/2022,10:59:59,REWARD,SOL,,,0.00037477,SOL,0.06509722,0.000,SOL,0,2.28176742,SOL
5/04/2022,10:59:59,REWARD,MATIC,,,0.08321253,MATIC,0.18151425,0.000,MATIC,0,253.3621015,MATIC
5/04/2022,10:59:59,REWARD,LUNC,,,0.00033783,LUNC,0.05201366,0.000,LUNC,0,2.05694289,LUNC
6/04/2022,10:59:59,REWARD,SOL,,,0.00037483,SOL,0.06171556,0.000,SOL,0,2.28214225,SOL
6/04/2022,10:59:59,REWARD,MATIC,,,0.08323987,MATIC,0.17302037,0.000,MATIC,0,253.44534137,MATIC
6/04/2022,10:59:59,REWARD,LUNC,,,0.00033789,LUNC,0.05204144,0.000,LUNC,0,2.05728078,LUNC
7/04/2022,10:59:59,REWARD,SOL,,,0.00037489,SOL,0.05678614,0.000,SOL,0,2.28251714,SOL
7/04/2022,10:59:59,REWARD,MATIC,,,0.08326722,MATIC,0.16228435,0.000,MATIC,0,253.52860859,MATIC
7/04/2022,10:59:59,REWARD,LUNC,,,0.00033794,LUNC,0.04893764,0.000,LUNC,0,2.05761872,LUNC
8/04/2022,10:59:59,REWARD,SOL,,,0.00037495,SOL,0.06050953,0.000,SOL,0,2.28289209,SOL
8/04/2022,10:59:59,REWARD,MATIC,,,0.08329458,MATIC,0.16816047,0.000,MATIC,0,253.61190317,MATIC
8/04/2022,10:59:59,REWARD,LUNC,,,0.00033800,LUNC,0.04747156,0.000,LUNC,0,2.05795672,LUNC
9/04/2022,10:59:59,REWARD,SOL,,,0.00037501,SOL,0.0560639,0.000,SOL,0,2.2832671,SOL
9/04/2022,10:59:59,REWARD,MATIC,,,0.08332194,MATIC,0.16114268,0.000,MATIC,0,253.69522511,MATIC
9/04/2022,10:59:59,REWARD,LUNC,,,0.00033805,LUNC,0.04303549,0.000,LUNC,0,2.05829477,LUNC
10/04/2022,10:59:59,REWARD,SOL,,,0.00037507,SOL,0.05642585,0.000,SOL,0,2.28364217,SOL
10/04/2022,10:59:59,REWARD,MATIC,,,0.08334932,MATIC,0.16457149,0.000,MATIC,0,253.77857443,MATIC
